Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
300,12.00,275,51,25.0,critical,0.752,755,190,1030,241
300,12.00,135,34,25.0,critical,0.570,480,216,615,250
303,12.12,277,50,25.0,critical,0.771,766,194,1043,244
303,12.12,135,34,25.0,critical,0.584,480,221,615,255
306,12.24,282,53,25.0,critical,0.736,772,198,1054,251
306,12.24,152,37,25.0,critical,0.654,474,225,626,262
306,12.24,269,38,25.0,critical,0.551,792,208,1061,246
309,12.36,138,52,25.0,critical,0.769,906,444,1044,496
309,12.36,301,54,25.0,critical,0.707,777,201,1078,255
309,12.36,233,44,25.0,critical,0.505,481,230,714,274
312,12.48,303,58,25.0,critical,0.691,790,201,1093,259
312,12.48,162,39,25.0,critical,0.535,477,238,639,277
315,12.60,331,54,25.0,critical,0.658,791,211,1122,265
318,12.72,337,55,25.0,critical,0.685,807,214,1144,269
318,12.72,274,52,25.0,critical,0.659,473,252,747,304
318,12.72,254,49,25.0,critical,0.511,892,219,1146,268
321,12.84,281,54,25.0,critical,0.660,472,258,753,312
321,12.84,346,58,25.0,critical,0.651,814,214,1160,272
324,12.96,361,63,25.0,critical,0.665,822,219,1183,282
324,12.96,294,53,25.0,critical,0.604,469,273,763,326
327,13.08,318,60,25.0,critical,0.763,462,279,780,339
327,13.08,371,73,25.0,critical,0.590,830,221,1201,294
330,13.20,344,76,25.0,critical,0.723,452,291,796,367
330,13.20,403,74,25.0,critical,0.669,847,227,1250,301
333,13.32,354,71,25.0,critical,0.767,451,307,805,378
333,13.32,198,75,25.0,critical,0.619,271,437,469,512
333,13.32,421,77,25.0,critical,0.523,858,232,1279,309
336,13.44,201,89,25.0,critical,0.792,257,479,458,568
336,13.44,411,84,25.0,critical,0.769,445,319,856,403
336,13.44,125,48,25.0,critical,0.634,902,470,1027,518
339,13.56,131,59,25.0,critical,0.774,947,508,1078,567
339,13.56,222,110,25.0,critical,0.764,229,519,451,629
339,13.56,420,91,25.0,critical,0.700,445,338,865,429
339,13.56,393,96,25.0,critical,0.505,887,238,1280,334
342,13.68,253,123,25.0,critical,0.848,193,579,446,702
342,13.68,445,103,25.0,critical,0.639,443,352,888,455
342,13.68,143,68,25.0,critical,0.624,1004,567,1147,635
342,13.68,379,98,25.0,critical,0.615,901,254,1280,352
345,13.80,151,77,25.0,critical,0.704,1080,640,1231,717
345,13.80,499,113,25.0,critical,0.559,417,377,916,490
345,13.80,369,106,25.0,critical,0.511,909,261,1278,367
348,13.92,340,132,25.0,critical,0.629,938,262,1278,394
351,14.04,177,49,25.0,critical,0.601,760,348,937,397
351,14.04,338,133,25.0,critical,0.539,941,267,1279,400
357,14.28,293,139,25.0,critical,0.596,984,294,1277,433
357,14.28,680,218,25.0,critical,0.570,378,502,1058,720
360,14.40,259,160,25.0,critical,0.595,1020,300,1279,460
360,14.40,241,79,25.0,critical,0.505,807,417,1048,496
363,14.52,241,163,25.0,critical,0.707,1039,313,1280,476
363,14.52,393,86,25.0,critical,0.635,377,634,770,720
366,14.64,205,165,25.0,critical,0.728,1075,329,1280,494
369,14.76,168,158,25.0,critical,0.623,1111,347,1279,505
369,14.76,171,123,25.0,critical,0.556,1003,558,1174,681
372,14.88,133,152,25.0,critical,0.766,1147,358,1280,510
375,15.00,94,135,25.0,critical,0.524,1185,379,1279,514
381,15.24,187,42,25.0,critical,0.683,726,157,913,199
384,15.36,185,42,25.0,critical,0.590,736,160,921,202
387,15.48,198,43,25.0,critical,0.530,733,164,931,207
390,15.60,199,43,25.0,critical,0.699,737,167,936,210
393,15.72,198,44,25.0,critical,0.736,746,170,944,214
396,15.84,213,48,25.0,critical,0.602,740,172,953,220
